TV,Radio,Koran,Revenue
2301,378,692,221000
445,393,451,104000
172,459,693,120000
1515,413,585,165000
1808,108,584,179000
87,489,750,72000
575,328,235,118000
1202,196,116,132000
86,21,10,48000
1998,26,212,156000
661,58,242,126000
661,58,242,126000
2147,240,40,174000
238,351,659,92000
975,76,72,137000
2041,329,460,190000
1954,477,529,224000
678,366,1140,125000
2814,396,558,244000
692,205,183,113000
1473,239,191,146000
2184,277,534,180000
2374,51,235,175000
132,159,496,56000
2283,169,262,205000
623,126,183,97000
2629,35,195,170000
1429,293,126,150000
2401,167,229,209000
2488,271,229,189000
706,160,408,105000
2929,283,432,214000
1129,174,386,119000
972,15,300,132000
972,15,300,132000
2656,200,3,174000
957,14,74,119000
2669,NA,85,NA
2907,41,85,178000
2669,438,50,254000
747,494,457,147000
431,267,351,101000
2280,377,320,215000
2025,223,316,166000
1770,334,387,171000
2936,277,18,207000
2069,84,264,179000
251,257,433,85000
1751,225,315,161000
897,99,357,106000
2399,415,185,232000
2272,158,499,198000
2272,158,499,198000
669,117,368,97000
1998,31,346,164000
1004,96,36,107000
2164,417,396,226000
1826,462,587,212000
2627,288,159,202000
1989,494,600,237000
73,281,414,55000
1362,192,166,132000
2108,496,377,238000
2107,295,93,184000
535,20,214,81000
2613,427,547,242000
2393,155,273,207000
1027,296,84,140000
1311,428,289,160000
690,93,9,113000
315,246,22,110000
1393,145,102,134000
2374,275,110,189000
2168,439,272,223000
1991,306,387,183000
1098,143,317,124000
268,330,193,88000
1294,57,313,110000
2134,246,131,170000
169,437,894,87000
275,16,207,69000
1205,285,142,142000
54,299,94,53000
1160,77,231,110000
764,267,223,118000
2398,41,369,173000
753,203,325,113000
684,445,356,136000
2135,430,338,217000
1932,184,657,202000
763,275,160,120000
1107,406,632,160000
883,255,734,129000
1098,478,514,167000
1343,49,93,140000
286,15,330,73000
2177,335,590,194000
2509,365,723,222000
1074,140,109,115000
1633,316,529,169000
1976,35,59,167000
1849,210,220,205000
2897,423,512,254000
1352,417,459,172000
2224,43,498,167000
2964,363,1009,238000
2802,101,214,198000
1879,172,179,197000
2382,343,53,207000
1379,464,590,150000
250,110,297,72000
904,3,232,120000
131,4,256,53000
2554,269,55,198000
2258,82,565,184000
2417,380,232,218000
1757,154,24,171000
2096,206,107,209000
782,468,345,146000
751,350,527,126000
1392,143,256,122000
764,8,148,94000
1257,369,792,159000
194,160,223,66000
1413,268,462,155000
188,217,504,70000
2240,24,156,166000
1231,346,124,152000
2295,323,742,197000
872,118,259,106000
78,389,506,66000
802,0,92,119000
2203,490,32,247000
596,120,431,97000
7,396,87,16000
2652,29,430,177000
84,272,21,57000
2198,335,451,196000
369,386,656,108000
483,470,85,116000
256,390,93,95000
2737,289,597,208000
430,259,205,96000
1849,439,17,207000
734,170,129,109000
1937,354,756,192000
2205,332,379,201000
1046,57,344,104000
962,148,389,123000
1403,19,90,103000
2401,73,87,182000
2432,490,443,254000
380,403,119,109000
447,258,206,101000
2807,139,370,161000
1210,84,487,116000
1976,233,142,166000
1713,397,377,160000
1878,211,95,206000
41,116,57,32000
939,435,505,153000
1498,13,243,101000
117,369,452,73000
1317,184,346,129000
1725,181,307,164000
857,358,493,133000
1884,181,256,199000
1635,368,74,180000
1172,147,54,119000
2345,34,848,169000
179,376,216,80000
2068,52,194,172000
NA,106,576,169000
2154,236,576,171000
2843,106,64,200000
500,116,184,84000
1645,209,474,175000
196,201,170,76000
196,209,64,NA
1684,71,128,167000
2224,34,131,165000
2769,489,418,270000
2484,302,203,202000
1702,78,352,167000
2767,23,237,168000
1656,100,176,176000
1566,26,83,155000
2185,54,274,172000
562,57,297,87000
2876,430,718,262000
2538,213,300,176000
2050,451,196,226000
2050,451,196,226000
1395,21,266,103000
1911,287,182,173000
2860,139,37,209000
187,121,234,67000
395,411,58,108000
755,108,60,119000
172,41,316,59000
1668,420,36,196000
1497,356,60,173000
382,37,138,76000
942,49,81,140000
1770,93,64,148000
2836,420,662,255000
2321,86,87,184000
